site_no,Time_zone,dec_lat_va,dec_long_va,parm_cd,huc_cd,begin_date,end_date,count_nu,station_nm,Natural ,Drainage area (mi^2),Remarks,Ice effect,Tidal effect,pic,Google earth,,,average sampling interval,max sample gap count,max sample gap in minutes,max sampling interval,median sampling interval,min sampling interval,percentage of missing samples,site id,total missing samples,max day missing,,total day missing,,Natural/Manmade,Decision(1_Use_0_No),,,,,
01103025,US/Eastern,42.40704077,-71.1339422,72255,1090001,10/1/2007,8/24/2018,3980,"ALEWIFE BROOK NEAR ARLINGTON, MA",yes,8.36,"Stage is occasionally affected by regulation of the Mystic River from gate changes and lock operations at Amelia Earhart Dam, located about 3.7 mi downstream from the mouth of Alewife Brook at the Mystic River.","During winter, ice formation in streams can cause stage and corresponding discharge values to appear higher than expected during periods of no precipitation. Ice effects from partial ice cover or shore ice may be minor, where stage and discharge appear to increase at night and decrease to base-line conditions around midday for one or more days. Major ice effects from complete ice cover appear as constantly increasing stage and discharge over several days during prolonged cold periods. Stage and discharge values for streams experiencing minor ice effects will continue to be displayed on the web to enable the user to estimate the approximate base-line discharges. Note that this method of estimation should only be used when no runoff occurs. During periods of major ice effects, display of discharge data on the web will be temporarily discontinued to prevent misuse of erroneous discharge data. The discharge record will resume when it is determined that ice conditions are no longer present. Display of stage data during periods of minor and major ice effects will continue to be displayed on the web. Daily mean discharges will be estimated for all periods of ice-effected discharges.",probably yes,,"https://earth.google.com/web/@42.40706879,-71.13386154,4.84407949a,0d,69.42625157y,48.13486974h,96.7521572t,0r/data=CjkaNxIxCgAZnxG26Rk0RUAheSNOgpLIUcAqGzQywrAyNCcyNS40Ik4gNzHCsDA4JzAyLjIiVxgBIAEiGgoWZzdLV0YwT1BzbThEb1ZqRXM5MjZnURAC",,,15,862,12944,12945,15,1,2.801916951,01103025_72255,4917,8.988888889,0.175310148,51.27420727,,Natural,1,,,,,
02110704,US/Eastern,33.8329481,-79.0436473,72255,3040206,10/1/2007,8/24/2018,3980,"WACCAMAW RIVER AT CONWAY MARINA AT CONWAY, SC",yes,1440,Nothing on website,probably no,probably yes,,"https://earth.google.com/web/@33.83285998,-79.04400183,16.36158287a,330.52030819d,35y,25.55257915h,34.86349612t,-0r/data=CjkaNxIxCgAZ9mEYC57qQEAhwoMLHsvCU8AqGzMzwrA0OSc1OC42Ik4gNznCsDAyJzM3LjEiVxgBIAE",,,15,480,7214,7215,15,1,1.25239915,02110704_72255,2199,5.009722222,0.218281037,22.95078993,,Natural,1,,,,,
02167705,US/Eastern,34.04458079,-81.697051,72255,3050109,7/2/2008,8/24/2018,3705,"LITTLE SALUDA RIVER NEAR SALUDA, SC",yes,110,Nothing on website,probably no,probably no,,"https://earth.google.com/web/@34.04431883,-81.69770583,117.65460469a,0d,90y,37.02505995h,77.57949335t,0r/data=CjkaNxIxCgAZwz6mWrAFQUAh5MLcSZ9sVMAqGzM0wrAwMic0MC4wIk4gODHCsDQxJzUwLjAiVxgBIAEiGgoWLXlFVFRtUHFOdGJPbkEzRzRudTBjURAC",,,15,2016,30254,30255,15,1,5.163345433,02167705_72255,9061,21.00972222,0.222491999,94.42911362,"those missing 21 days are probably where the velocity is close to zero, so can keep this site",Natural,1,,,,,
02172002,US/Eastern,33.21516925,-79.9745248,72255,3050201,10/1/2007,8/24/2018,3980,"LAKE MOULTRIE TAILRACE CANAL AT MONCKS CORNER, SC",no,14800,Nothing on website,probably no,probably yes,,"https://earth.google.com/web/@33.2151692,-79.9745248,12.27249505a,866.61093943d,35y,0h,45t,0r/data=CjkaNxIxCgAZoY0SqoqbQEAhBUlEnV7-U8AqGzMzwrAxMic1NC42Ik4gNznCsDU4JzI4LjMiVxgCIAEoAg",,,15,179,2699,2700,15,1,0.284196078,02172002_72255,499,1.874305556,0.358717435,5.225019398,"Fine, but weird",Manmade,1,,,,,
02198950,US/Eastern,32.16555556,-81.1383333,72255,3060109,6/20/2009,8/24/2018,3352,"MIDDLE RIVER AT GA 25 AT PORT WENTWORTH, GA",yes,,Nothing on website,probably no,probably yes,,"https://earth.google.com/web/@32.16572891,-81.13677565,5.58180952a,0d,60y,273.06668274h,79.61417636t,0r/data=CjkaNxIxCgAZt9UH7TAVQEAhqNzpc9pIVMAqGzMywrAwOSc1Ni4wIk4gODHCsDA4JzE4LjAiVxgBIAEiGgoWaUpHMkNfdUFibF9hVkJiLUlqRDZkQRAC",,,15.49353491,672,10094,10095,15,1,3.394975596,02198950_72255,5961,7.009722222,0.112732763,62.17999132,,Natural,1,,,,,
02237698,US/Eastern,28.66638527,-81.705909,72255,3080102,10/1/2007,8/24/2018,3980,"APOPKA FLOW-WAY FEEDER CANAL NEAR ASTATULA, FL",no,,Nothing on website,probably no,not sure,,"https://earth.google.com/web/@28.6663853,-81.705909,21.44652939a,913.41810631d,35y,0h,45t,0r/data=CjkaNxIxCgAZ_wgeOpiqPEAh7jzxnC1tVMAqGzI4wrAzOSc1OS4wIk4gODHCsDQyJzIxLjMiVxgCIAEoAg",,,15,348,5234,5235,15,1,3.162606858,02237698_72255,5553,3.634722222,0.062668828,57.99888649,Too regulated,Manmade,1,,,,,
02312700,US/Eastern,28.8002651,-82.1528658,72255,3100208,2/13/2009,8/24/2018,3479,"OUTLET RIVER AT PANACOOCHEE RETREATS, FL",yes,,"REMARKS.--Computed discharge at this station may differ from individual measurements because of changes in tidal influence, wind, or other factors. Flow affected at times by backwater from Withlacoochee River. Prior to 1962, flow partially controlled by small rock dams and at times during 1962-64 by a temporary sheet piling dam about 400 ft downstream from bridge on County Road 470. Flow partially controlled by sandbag dam June 6-10, 1992.",probably no,yes,,"https://earth.google.com/web/@28.79999149,-82.15311332,12.00673872a,180.6616341d,35y,50.53471461h,44.99534899t,0r/data=CjkaNxIxCgAZzMzMzMzMPEAhDx63qcuJVMAqGzI4wrA0OCcwMC4wIk4gODLCsDA5JzExLjAiVxgCIAE","https://earth.google.com/web/@28.79969383,-82.15245681,18.49343653a,0d,15y,307.75452293h,89.66321183t,0r/data=IhoKFktZMUJtajNJX3ZFdTF5SnZoX2VYTFEQAg",,14,966,14504,14505,15,1,3.363781933,02312700_72255,5903,10.07222222,0.163645604,61.54899356,,Natural,1,,,,,
02342881,US/Eastern,32.1423755,-85.0463196,72255,3130003,9/18/2009,8/24/2018,3262,"CHATTAHOOCHEE RIVER AT SPUR 39, NEAR OMAHA, GA",yes,,Nothing on website,probably no,probably no,,"https://earth.google.com/web/@32.1423755,-85.0463196,56.93366195a,878.16562005d,35y,0h,45t,0r/data=CjkaNxIxCgAZNiBCXDkSQEAhe8p75vZCVcAqGzMywrAwOCczMi42Ik4gODXCsDAyJzQ2LjgiVxgBIAEoAg",,,15.35461266,768,11534,11535,15,1,2.351594403,02342881_72255,4129,8.009722222,0.186001453,43.06268627,,Natural,1,,,,,
02356000,US/Eastern,30.91157714,-84.5799144,72255,3130008,10/1/2007,8/24/2018,3980,"FLINT RIVER AT BAINBRIDGE, GA",yes,,Nothing on website,probably no,probably no,,"https://earth.google.com/web/@30.9115771,-84.5799144,27.5675905a,891.03706735d,35y,0h,45t,0r/data=CjkaNxIxCgAZU0joHV3pPkAhr55JUR0lVcAqGzMwwrA1NCc0MS43Ik4gODTCsDM0JzQ3LjciVxgBIAEoAg",,,15.15031552,480,7214,7215,15,1,1.019460882,02356000_72255,1790,5.009722222,0.268156425,18.68208912,,Natural,1,,,,,
02470629,US/Central,31.01573579,-88.0208321,72255,3170008,10/1/2007,8/24/2018,3980,"MOBILE RIVER AT RIVER MILE 31.0 AT BUCKS, AL",yes,,Tide Remarks,probably no,"Data are tidally affected -- Astronomical tides cause significant cycles of approximately 24.84 hours at this site. Because a different portion of the 24.84-hour tidal cycle is averaged in successive daily (24-hour) computations, a systematic secondary oscillation, unrelated to basin hydrology and having a period of about two weeks may be apparent in daily data.",https://waterdata.usgs.gov/nwis/uv?site_no=02470629,"https://earth.google.com/web/@31.0157358,-88.0208321,3.67205945a,889.96466314d,35y,0h,45t,0r/data=CjkaNxIxCgAZW2DqQgcEP0AhPw0pUFUBVsAqGzMxwrAwMCc1Ni43Ik4gODjCsDAxJzE1LjAiVxgCIAEoAg",,,16.99695393,1728,25934,25935,15,1,11.74942904,02470629_72255,20630,18.00972222,0.083761512,215.0119036,based on the shape is ok,Natural,1,,,,,
